,fov,peak,birth_label,birth_time,division_time,sb,sd,delta,elong_rate,tau,width,septum_position
f12p1177t0478r03,12,1177,3,478,495,1.6259765625,3.2734375,1.6474609375,0.77978515625,51.0,0.487,0.480224609375
f12p1177t0478r04,12,1177,4,478,495,1.8388671875,3.640625,1.802734375,0.796875,51.0,0.4744,0.51806640625
f12p1252t0014r02,12,1252,2,14,30,1.759765625,3.642578125,1.8828125,0.95166015625,48.0,0.4553,0.5712890625
f12p1252t0015r03,12,1252,3,15,30,2.08984375,3.904296875,1.8154296875,0.8896484375,45.0,0.4897,0.50048828125
f12p1252t0030r02,12,1252,2,30,47,2.080078125,3.775390625,1.693359375,0.697265625,51.0,0.46,0.50048828125
f12p1252t0030r03,12,1252,3,30,47,1.5615234375,3.4765625,1.9140625,0.94091796875,51.0,0.4688,0.5078125
f12p1252t0030r04,12,1252,4,30,45,1.9541015625,3.771484375,1.81640625,0.8330078125,45.0,0.501,0.46533203125
f12p1252t0047r03,12,1252,3,47,62,1.8896484375,3.322265625,1.431640625,0.7939453125,45.0,0.4702,0.50927734375
f12p1252t0047r04,12,1252,4,47,61,1.884765625,3.525390625,1.640625,0.85791015625,42.0,0.4617,0.480712890625
f12p1252t0049r02,12,1252,2,49,67,1.8212890625,3.70703125,1.8857421875,0.783203125,54.0,0.455,0.5087890625
f12p1252t0049r03,12,1252,3,49,66,1.572265625,3.259765625,1.6884765625,0.7822265625,51.0,0.4697,0.5595703125
f12p1252t0050r01,12,1252,1,50,68,1.69140625,3.578125,1.8857421875,0.8125,54.0,0.4915,0.490966796875
f12p1252t0050r02,12,1252,2,50,68,1.365234375,3.265625,1.900390625,0.99072265625,54.0,0.4636,0.59765625
f12p1252t0067r03,12,1252,3,67,82,1.8857421875,3.51171875,1.6259765625,0.81494140625,45.0,0.4622,0.5185546875
f12p1252t0068r01,12,1252,1,68,83,1.755859375,3.45703125,1.7001953125,0.85400390625,45.0,0.4768,0.529296875
f12p1252t0068r02,12,1252,2,68,86,1.8212890625,4.03515625,2.21484375,0.87939453125,54.0,0.4656,0.50048828125
f12p1252t0068r03,12,1252,3,68,89,1.951171875,4.1640625,2.21484375,0.7705078125,63.0,0.4707,0.484130859375
f12p1252t0083r01,12,1252,1,83,101,1.830078125,3.53125,1.7001953125,0.74169921875,54.0,0.4912,0.515625
f12p1252t0083r02,12,1252,2,83,101,1.6259765625,3.775390625,2.1484375,0.92724609375,54.0,0.4656,0.50048828125
f12p1252t0086r03,12,1252,3,86,99,2.01953125,3.392578125,1.373046875,0.849609375,39.0,0.4712,0.50146484375
f12p1252t0086r04,12,1252,4,86,99,2.015625,3.580078125,1.5634765625,0.833984375,39.0,0.4714,0.509765625
f12p1252t0099r03,12,1252,3,99,116,1.701171875,3.1875,1.486328125,0.76513671875,51.0,0.469,0.469482421875
f12p1252t0101r01,12,1252,1,101,121,1.8212890625,4.1015625,2.279296875,0.79833984375,60.0,0.4917,0.42919921875
f12p1252t0101r02,12,1252,2,101,118,1.7099609375,3.771484375,2.0625,0.9677734375,51.0,0.4497,0.53466796875
f12p1252t0101r03,12,1252,3,101,116,1.8896484375,3.4609375,1.5712890625,0.73779296875,45.0,0.4548,0.51025390625
f12p1252t0101r04,12,1252,4,101,117,1.8857421875,3.900390625,2.015625,0.8525390625,48.0,0.4575,0.483154296875
f12p1252t0118r02,12,1252,2,118,134,2.015625,3.90234375,1.8857421875,0.8359375,48.0,0.472,0.4833984375
f12p1252t0118r03,12,1252,3,118,133,1.755859375,3.384765625,1.6298828125,0.7470703125,45.0,0.4712,0.443115234375
f12p1252t0121r01,12,1252,1,121,138,1.759765625,3.51171875,1.7529296875,0.81689453125,51.0,0.514,0.4814453125
f12p1252t0121r02,12,1252,2,121,133,2.341796875,3.736328125,1.3955078125,0.7822265625,36.0,0.475,0.45361328125
f12p1252t0133r02,12,1252,2,133,149,1.6953125,3.64453125,1.9501953125,0.88525390625,48.0,0.4495,0.51708984375
f12p1252t0134r04,12,1252,4,134,149,1.8857421875,3.466796875,1.5810546875,0.7841796875,45.0,0.4722,0.453369140625
f12p1252t0138r01,12,1252,1,138,155,1.69140625,3.478515625,1.7880859375,0.84814453125,51.0,0.5127,0.53125
f12p1252t0138r02,12,1252,2,138,154,1.8212890625,3.451171875,1.6298828125,0.7822265625,48.0,0.487,0.52880859375
f12p1252t0149r03,12,1252,3,149,166,1.884765625,3.845703125,1.9599609375,0.80419921875,51.0,0.4382,0.47607421875
f12p1252t0149r04,12,1252,4,149,163,1.759765625,3.0546875,1.294921875,0.79150390625,42.0,0.4604,0.53173828125
f12p1252t0154r02,12,1252,2,154,170,1.82421875,3.595703125,1.7705078125,0.86669921875,48.0,0.4963,0.493408203125
f12p1252t0154r03,12,1252,3,154,170,1.6259765625,3.05859375,1.431640625,0.79638671875,48.0,0.4915,0.46826171875
f12p1252t0155r01,12,1252,1,155,169,1.8486328125,3.51953125,1.6708984375,0.94091796875,42.0,0.5073,0.5185546875
f12p1252t0155r02,12,1252,2,155,173,1.6298828125,3.65234375,2.021484375,0.85302734375,54.0,0.485,0.483642578125
f12p1252t0169r02,12,1252,2,169,188,1.6953125,3.5859375,1.890625,0.86572265625,57.0,0.4863,0.564453125
f12p1252t0173r03,12,1252,3,173,188,1.765625,3.46484375,1.69921875,0.8408203125,45.0,0.4854,0.493408203125
f12p1252t0173r04,12,1252,4,173,187,1.8857421875,3.64453125,1.759765625,0.9150390625,42.0,0.486,0.446044921875
f12p1252t0185r01,12,1252,1,185,199,1.5654296875,2.6171875,1.0517578125,0.72705078125,42.0,0.4646,0.52197265625
f12p1252t0188r03,12,1252,3,188,204,2.0234375,3.78125,1.7568359375,0.76318359375,48.0,0.4773,0.481689453125
f12p1252t0188r04,12,1252,4,188,204,1.5615234375,3.251953125,1.6904296875,0.77392578125,48.0,0.4805,0.53955078125
f12p1252t0222r02,12,1252,2,222,242,1.3896484375,3.779296875,2.388671875,0.91015625,60.0,0.455,0.5341796875
f12p1252t0225r02,12,1252,2,225,246,1.9033203125,3.9765625,2.072265625,0.69970703125,63.0,0.469,0.5234375
f12p1252t0245r01,12,1252,1,245,265,1.830078125,3.970703125,2.140625,0.86181640625,60.0,0.4705,0.5078125
f12p1252t0245r02,12,1252,2,245,258,2.095703125,3.328125,1.2314453125,0.76318359375,39.0,0.4824,0.51123046875
f12p1252t0246r03,12,1252,3,246,261,2.080078125,3.837890625,1.755859375,0.83056640625,45.0,0.4573,0.474609375
f12p1252t0246r04,12,1252,4,246,261,1.8955078125,3.53125,1.6357421875,0.7939453125,45.0,0.4702,0.515625
f12p1252t0258r02,12,1252,2,258,273,1.701171875,3.31640625,1.615234375,0.7890625,45.0,0.4622,0.470703125
f12p1252t0265r01,12,1252,1,265,276,2.015625,3.283203125,1.267578125,0.830078125,33.0,0.4827,0.53759765625
f12p1252t0265r02,12,1252,2,265,277,1.9541015625,3.654296875,1.7001953125,0.98583984375,36.0,0.464,0.4814453125
f12p1252t0276r01,12,1252,1,276,296,1.765625,3.451171875,1.685546875,0.6357421875,60.0,0.4631,0.5087890625
f12p1252t0277r02,12,1252,2,277,292,1.759765625,3.595703125,1.8359375,0.9697265625,45.0,0.4614,0.4755859375
f12p1252t0277r03,12,1252,3,277,296,1.8955078125,3.779296875,1.884765625,0.74267578125,57.0,0.4375,0.43017578125
f12p1252t0292r03,12,1252,3,292,311,1.7099609375,3.328125,1.619140625,0.77294921875,57.0,0.4587,0.452880859375
f12p1252t0295r02,12,1252,2,295,311,1.6572265625,3.609375,1.951171875,0.8642578125,48.0,0.483,0.487548828125
f12p1252t0296r01,12,1252,1,296,314,1.755859375,3.380859375,1.6240234375,0.79736328125,54.0,0.4685,0.5
f12p1252t0296r02,12,1252,2,296,312,1.6953125,3.7265625,2.03125,0.90673828125,48.0,0.4636,0.541015625
f12p1252t0312r02,12,1252,2,312,329,2.015625,3.734375,1.71875,0.7099609375,51.0,0.464,0.5048828125
f12p1252t0314r01,12,1252,1,314,331,1.6904296875,3.1875,1.498046875,0.736328125,51.0,0.4885,0.469482421875
f12p1252t0314r02,12,1252,2,314,332,1.6904296875,3.775390625,2.0859375,0.88330078125,54.0,0.4658,0.482421875
f12p1252t0331r01,12,1252,1,331,352,1.49609375,3.4453125,1.9501953125,0.78466796875,63.0,0.5034,0.509765625
f12p1252t0331r02,12,1252,2,331,348,1.69140625,3.498046875,1.806640625,0.8037109375,51.0,0.4922,0.4677734375
f12p1252t0332r03,12,1252,3,332,348,1.8212890625,3.4453125,1.625,0.83154296875,48.0,0.4724,0.509765625
f12p1252t0332r04,12,1252,4,332,346,1.9541015625,3.45703125,1.501953125,0.81005859375,42.0,0.4697,0.432861328125
f12p1252t0348r02,12,1252,2,348,366,1.63671875,3.451171875,1.814453125,0.81787109375,54.0,0.4893,0.5087890625
f12p1252t0348r03,12,1252,3,348,366,1.861328125,3.845703125,1.9853515625,0.83447265625,54.0,0.4812,0.475830078125
f12p1252t0348r04,12,1252,4,348,364,1.755859375,3.455078125,1.69921875,0.85302734375,48.0,0.47,0.52978515625
f12p1252t0352r01,12,1252,1,352,368,1.755859375,3.451171875,1.6953125,0.8388671875,48.0,0.5034,0.509765625
f12p1252t0352r02,12,1252,2,352,369,1.6904296875,3.51953125,1.830078125,0.80859375,51.0,0.5054,0.5185546875
f12p1252t0366r03,12,1252,3,366,384,1.755859375,3.640625,1.884765625,0.82470703125,54.0,0.4668,0.482421875
f12p1252t0368r01,12,1252,1,368,385,1.759765625,3.41015625,1.6513671875,0.83544921875,51.0,0.5073,0.498779296875
f12p1252t0368r02,12,1252,2,368,383,1.69140625,3.32421875,1.6337890625,0.880859375,45.0,0.486,0.509765625
f12p1252t0369r03,12,1252,3,369,384,1.82421875,3.34765625,1.5224609375,0.84375,45.0,0.5024,0.49169921875
f12p1252t0369r04,12,1252,4,369,385,1.6953125,3.251953125,1.5576171875,0.84228515625,48.0,0.478,0.580078125
f12p1252t0383r02,12,1252,2,383,398,1.6953125,3.19140625,1.4970703125,0.85205078125,45.0,0.4863,0.47021484375
f12p1252t0383r03,12,1252,3,383,401,1.6298828125,3.708984375,2.080078125,0.88232421875,54.0,0.4932,0.49072265625
f12p1252t0384r04,12,1252,4,384,400,1.6455078125,3.2109375,1.564453125,0.85205078125,48.0,0.485,0.53271484375
f12p1252t0385r01,12,1252,1,385,402,1.701171875,3.2109375,1.5107421875,0.7607421875,51.0,0.501,0.5078125
f12p1252t0385r02,12,1252,2,385,400,1.7099609375,3.390625,1.6796875,0.85791015625,45.0,0.4985,0.5
f12p1252t0400r02,12,1252,2,400,417,1.6953125,3.7109375,2.015625,0.9169921875,51.0,0.4797,0.50830078125
f12p1252t0402r01,12,1252,1,402,420,1.6298828125,3.51171875,1.880859375,0.85009765625,54.0,0.488,0.462890625
f12p1252t0402r02,12,1252,2,402,420,1.5810546875,3.373046875,1.791015625,0.919921875,54.0,0.4893,0.49560546875
f12p1252t0417r03,12,1252,3,417,435,1.8857421875,3.83984375,1.9541015625,0.7998046875,54.0,0.4658,0.52587890625
f12p1252t0417r04,12,1252,4,417,430,1.82421875,3.1953125,1.37109375,0.93701171875,39.0,0.4736,0.51025390625
f12p1252t0420r01,12,1252,1,420,436,1.625,3.185546875,1.5595703125,0.88134765625,48.0,0.5015,0.48974609375
f12p1252t0420r04,12,1252,4,420,435,1.701171875,3.576171875,1.875,0.91650390625,45.0,0.4624,0.490966796875
f12p1252t0470r01,12,1252,1,470,486,1.443359375,2.828125,1.3857421875,0.72119140625,48.0,0.4539,0.576171875
f12p1252t0470r02,12,1252,2,470,487,1.6953125,3.6484375,1.9541015625,0.93359375,51.0,0.4539,0.482177734375
f12p1327t0016r02,12,1327,2,16,32,1.8857421875,3.51953125,1.6337890625,0.85400390625,48.0,0.4927,0.474853515625
f12p1327t0016r03,12,1327,3,16,35,1.5615234375,4.2109375,2.6484375,0.90087890625,57.0,0.4856,0.51513671875
f12p1327t0017r01,12,1327,1,17,33,1.8857421875,3.529296875,1.6435546875,0.80859375,48.0,0.4792,0.479248046875
f12p1327t0017r02,12,1327,2,17,31,1.6953125,3.513671875,1.8193359375,1.0205078125,42.0,0.4749,0.53759765625
f12p1327t0031r02,12,1327,2,31,50,1.8896484375,3.83984375,1.951171875,0.80859375,57.0,0.476,0.424560546875
f12p1327t0033r01,12,1327,1,33,49,1.69140625,3.384765625,1.693359375,0.8251953125,48.0,0.4785,0.52001953125
f12p1327t0033r02,12,1327,2,33,49,1.8388671875,3.521484375,1.6826171875,0.84228515625,48.0,0.4617,0.483154296875
f12p1327t0049r01,12,1327,1,49,67,1.759765625,3.58984375,1.8310546875,0.75439453125,54.0,0.4683,0.50830078125
f12p1327t0049r02,12,1327,2,49,69,1.625,3.580078125,1.955078125,0.82421875,60.0,0.4578,0.473388671875
f12p1327t0049r03,12,1327,3,49,64,1.701171875,3.392578125,1.6904296875,0.857421875,45.0,0.479,0.5205078125
f12p1327t0069r04,12,1327,4,69,86,1.884765625,4.03125,2.146484375,0.89208984375,51.0,0.4666,0.51611328125
f12p1327t0103r01,12,1327,1,103,120,1.755859375,3.3828125,1.6259765625,0.73583984375,51.0,0.469,0.51904296875
f12p1327t0103r02,12,1327,2,103,119,2.015625,3.849609375,1.833984375,0.77490234375,48.0,0.4558,0.4755859375
f12p1327t0119r02,12,1327,2,119,136,1.830078125,4.09765625,2.267578125,0.84912109375,51.0,0.459,0.52392578125
f12p1327t0120r01,12,1327,1,120,138,1.755859375,3.51171875,1.7548828125,0.6904296875,54.0,0.4653,0.5185546875
f12p1327t0120r02,12,1327,2,120,142,1.6259765625,3.775390625,2.150390625,0.7822265625,66.0,0.4568,0.53369140625
f12p1327t0136r03,12,1327,3,136,150,2.146484375,3.5859375,1.439453125,0.783203125,42.0,0.4573,0.52880859375
f12p1327t0138r01,12,1327,1,138,158,1.8212890625,3.640625,1.8203125,0.7373046875,60.0,0.4724,0.57177734375
f12p1327t0158r01,12,1327,1,158,173,2.080078125,3.515625,1.43359375,0.62109375,45.0,0.4504,0.517578125
f12p1327t0158r02,12,1327,2,158,174,1.5595703125,3.3203125,1.7607421875,0.900390625,48.0,0.4927,0.451904296875
f12p1327t0158r03,12,1327,3,158,177,1.8896484375,4.25,2.361328125,0.8349609375,57.0,0.4702,0.5068359375
f12p1327t0173r01,12,1327,1,173,191,1.8203125,3.384765625,1.5654296875,0.66796875,54.0,0.4531,0.499267578125
f12p1327t0173r02,12,1327,2,173,192,1.6953125,3.38671875,1.69140625,0.71826171875,57.0,0.4468,0.55712890625
f12p1327t0174r03,12,1327,3,174,192,1.5009765625,2.9375,1.435546875,0.76611328125,54.0,0.5005,0.489013671875
f12p1327t0174r04,12,1327,4,174,192,1.8203125,3.380859375,1.5615234375,0.771484375,54.0,0.475,0.5
f12p1327t0191r01,12,1327,1,191,210,1.6904296875,3.255859375,1.5654296875,0.67578125,57.0,0.451,0.5205078125
f12p1327t0191r02,12,1327,2,191,197,1.6953125,2.361328125,0.6669921875,0.98193359375,18.0,0.4382,0.60595703125
f12p1327t0192r03,12,1327,3,192,210,1.8857421875,3.72265625,1.8369140625,0.75830078125,54.0,0.456,0.454345703125
f12p1327t0210r01,12,1327,1,210,230,1.6953125,3.53515625,1.83984375,0.712890625,60.0,0.4392,0.5888671875
f12p1327t0210r02,12,1327,2,210,232,1.5595703125,3.849609375,2.2890625,0.79345703125,66.0,0.4578,0.5244140625
f12p1327t0212r03,12,1327,3,212,226,1.7978515625,2.927734375,1.1298828125,0.771484375,42.0,0.477,0.51123046875
f12p1327t0212r04,12,1327,4,212,227,2.041015625,3.724609375,1.68359375,0.7646484375,45.0,0.4631,0.49365234375
f12p1327t0230r01,12,1327,1,230,248,2.080078125,3.580078125,1.5,0.6943359375,54.0,0.4639,0.490478515625
f12p1327t0232r03,12,1327,3,232,248,2.01953125,3.53125,1.5126953125,0.72265625,48.0,0.462,0.5
f12p1327t0248r01,12,1327,1,248,272,1.755859375,4.30078125,2.54296875,0.76318359375,72.0,0.471,0.51416015625
f12p1327t0248r02,12,1327,2,248,264,1.82421875,3.318359375,1.4931640625,0.76904296875,48.0,0.4714,0.451171875
f12p1327t0248r03,12,1327,3,248,265,2.10546875,4.09765625,1.994140625,0.83154296875,51.0,0.4583,0.5244140625
f12p1327t0248r04,12,1327,4,248,264,1.7548828125,3.650390625,1.89453125,0.8203125,48.0,0.4607,0.463134765625
f12p1327t0264r02,12,1327,2,264,280,1.49609375,3.4453125,1.9501953125,0.98876953125,48.0,0.4702,0.490478515625
f12p1327t0264r03,12,1327,3,264,282,1.8212890625,3.5234375,1.701171875,0.76416015625,54.0,0.4746,0.464599609375
f12p1327t0272r01,12,1327,1,272,285,2.2109375,3.515625,1.3046875,0.7099609375,39.0,0.447,0.50048828125
f12p1327t0272r02,12,1327,2,272,285,2.08984375,3.4140625,1.32421875,0.7412109375,39.0,0.468,0.42578125
f12p1327t0280r03,12,1327,3,280,295,1.6904296875,3.16015625,1.4697265625,0.8330078125,45.0,0.478,0.515625
f12p1327t0285r01,12,1327,1,285,297,1.759765625,2.802734375,1.0439453125,0.7822265625,36.0,0.4614,0.580078125
f12p1327t0285r02,12,1327,2,285,303,1.755859375,3.66015625,1.9033203125,0.845703125,54.0,0.4543,0.53271484375
f12p1327t0285r04,12,1327,4,285,306,1.9599609375,4.0390625,2.080078125,0.76513671875,63.0,0.4736,0.466796875
f12p1327t0303r02,12,1327,2,303,319,1.9501953125,3.8671875,1.91796875,0.8466796875,48.0,0.4727,0.52197265625
f12p1327t0303r03,12,1327,3,303,321,1.7099609375,3.31640625,1.6064453125,0.73193359375,54.0,0.4685,0.54931640625
f12p1327t0303r04,12,1327,4,303,319,1.884765625,3.197265625,1.3115234375,0.7001953125,48.0,0.4346,0.57275390625
f12p1327t0305r01,12,1327,1,305,320,2.2109375,3.84375,1.6337890625,0.77490234375,45.0,0.4473,0.525390625
f12p1327t0305r02,12,1327,2,305,321,1.8203125,3.525390625,1.7060546875,0.7939453125,48.0,0.442,0.517578125
f12p1327t0319r03,12,1327,3,319,334,2.01953125,3.447265625,1.427734375,0.755859375,45.0,0.4753,0.489501953125
f12p1327t0319r04,12,1327,4,319,334,1.8486328125,3.509765625,1.6611328125,0.837890625,45.0,0.4517,0.57421875
f12p1327t0320r01,12,1327,1,320,338,2.01953125,3.970703125,1.951171875,0.74951171875,54.0,0.467,0.52392578125
f12p1327t0320r02,12,1327,2,320,338,1.82421875,3.5859375,1.7607421875,0.73876953125,54.0,0.4434,0.5107421875
f12p1327t0321r03,12,1327,3,321,338,1.82421875,3.580078125,1.7548828125,0.80859375,51.0,0.45,0.490234375
f12p1327t0338r01,12,1327,1,338,352,2.080078125,3.78125,1.69921875,0.7900390625,42.0,0.4946,0.447265625
f12p1327t0338r03,12,1327,3,338,354,1.830078125,3.51171875,1.6806640625,0.8447265625,48.0,0.467,0.481689453125
f12p1327t0338r04,12,1327,4,338,356,1.7548828125,3.734375,1.978515625,0.806640625,54.0,0.4614,0.52490234375
f12p1327t0352r02,12,1327,2,352,371,2.08984375,4.36328125,2.2734375,0.83837890625,57.0,0.4985,0.462890625
f12p1327t0354r02,12,1327,2,354,371,1.69140625,3.603515625,1.9130859375,0.8583984375,51.0,0.4927,0.51025390625
f12p1327t0354r03,12,1327,3,354,369,1.8203125,3.578125,1.7578125,0.921875,45.0,0.4722,0.52734375
f12p1327t0366r01,12,1327,1,366,383,1.8857421875,3.841796875,1.955078125,0.80419921875,51.0,0.457,0.5419921875
f12p1327t0366r02,12,1327,2,366,381,1.8857421875,3.333984375,1.4482421875,0.81689453125,45.0,0.4644,0.4677734375
f12p1327t0371r03,12,1327,3,371,383,2.01953125,3.708984375,1.6904296875,1.00390625,36.0,0.4714,0.525390625
f12p1327t0371r04,12,1327,4,371,381,2.34375,3.8046875,1.4599609375,0.91552734375,30.0,0.4626,0.53076171875
f12p1327t0381r02,12,1327,2,381,400,1.5595703125,3.646484375,2.0859375,0.80712890625,57.0,0.4827,0.482666015625
f12p1327t0381r03,12,1327,3,381,397,1.7744140625,3.203125,1.4296875,0.82080078125,48.0,0.4707,0.57373046875
f12p1327t0383r01,12,1327,1,383,398,2.080078125,3.771484375,1.69140625,0.7998046875,45.0,0.451,0.56884765625
f12p1327t0383r02,12,1327,2,383,401,1.759765625,3.5859375,1.8271484375,0.78076171875,54.0,0.4658,0.51025390625
f12p1327t0397r04,12,1327,4,397,416,1.8388671875,3.513671875,1.67578125,0.6875,57.0,0.448,0.48095703125
f12p1327t0398r02,12,1327,2,398,413,1.6259765625,3.123046875,1.49609375,0.9443359375,45.0,0.465,0.52099609375
f12p1327t0401r03,12,1327,3,401,416,1.830078125,3.126953125,1.296875,0.79150390625,45.0,0.4753,0.52001953125
f12p1327t0413r02,12,1327,2,413,430,1.6259765625,3.384765625,1.7587890625,0.88134765625,51.0,0.4731,0.52001953125
f12p1327t0413r03,12,1327,3,413,432,1.49609375,3.53515625,2.0390625,0.8955078125,57.0,0.461,0.53466796875
f12p1327t0434r03,12,1327,3,434,445,2.083984375,3.25,1.166015625,0.9619140625,33.0,0.463,0.52001953125
f12p1327t0445r02,12,1327,2,445,463,1.6904296875,3.798828125,2.109375,0.9111328125,54.0,0.4778,0.486572265625
f12p1327t0446r01,12,1327,1,446,457,2.470703125,4.05078125,1.5791015625,0.80078125,33.0,0.4487,0.53369140625
f12p1327t0446r02,12,1327,2,446,459,2.080078125,3.138671875,1.0576171875,0.666015625,39.0,0.4348,0.439208984375
f12p1327t0457r02,12,1327,2,457,474,1.8896484375,3.404296875,1.5146484375,0.6669921875,51.0,0.4688,0.5400390625
f12p1327t0474r02,12,1327,2,474,491,1.8388671875,3.919921875,2.08203125,0.86474609375,51.0,0.4336,0.54736328125
f12p1327t0475r01,12,1327,1,475,489,2.341796875,4.10546875,1.7646484375,0.81103515625,42.0,0.4504,0.53857421875
f12p1327t0475r02,12,1327,2,475,488,2.015625,3.59765625,1.5810546875,0.9609375,39.0,0.4727,0.546875
f12p1401t0007r02,12,1401,2,7,24,1.5810546875,3.380859375,1.7998046875,0.9111328125,51.0,0.4797,0.46142578125
f12p1401t0007r03,12,1401,3,7,23,1.6259765625,2.87109375,1.24609375,0.798828125,48.0,0.468,0.432373046875
f12p1401t0008r01,12,1401,1,8,25,1.8212890625,3.40234375,1.5810546875,0.80322265625,51.0,0.553,0.51611328125
f12p1401t0008r02,12,1401,2,8,24,1.7099609375,3.634765625,1.923828125,0.890625,48.0,0.5,0.57470703125
f12p1401t0024r04,12,1401,4,24,42,1.5595703125,3.45703125,1.8974609375,0.70849609375,54.0,0.4812,0.473388671875
f12p1401t0025r01,12,1401,1,25,38,1.755859375,3.26171875,1.505859375,0.94482421875,39.0,0.545,0.501953125
f12p1401t0025r02,12,1401,2,25,38,1.6455078125,3.068359375,1.4228515625,0.98974609375,39.0,0.4893,0.466552734375
f12p1401t0038r01,12,1401,1,38,55,1.63671875,3.302734375,1.666015625,0.81591796875,51.0,0.5146,0.45947265625
f12p1401t0038r02,12,1401,2,38,52,1.625,2.9375,1.3115234375,0.98193359375,42.0,0.5156,0.533203125
f12p1401t0038r03,12,1401,3,38,59,1.431640625,3.716796875,2.28515625,0.87353515625,63.0,0.4817,0.50732421875
f12p1401t0038r04,12,1401,4,38,56,1.63671875,3.71484375,2.078125,0.8876953125,54.0,0.471,0.473876953125
f12p1401t0052r03,12,1401,3,52,72,1.37109375,3.451171875,2.080078125,0.96142578125,60.0,0.4807,0.45361328125
f12p1401t0055r01,12,1401,1,55,80,1.517578125,3.3828125,1.865234375,0.67919921875,75.0,0.511,0.5
f12p1401t0055r02,12,1401,2,55,76,1.78515625,3.85546875,2.0703125,0.81005859375,63.0,0.486,0.5771484375
f12p1401t0076r02,12,1401,2,76,83,2.224609375,2.86328125,0.6376953125,0.68896484375,21.0,0.4575,0.45458984375
f12p1401t0076r03,12,1401,3,76,92,1.6298828125,3.51171875,1.880859375,0.9345703125,48.0,0.4602,0.53662109375
f12p1401t0080r01,12,1401,1,80,97,1.69140625,3.328125,1.6357421875,0.7880859375,51.0,0.5293,0.46923828125
f12p1401t0080r02,12,1401,2,80,96,1.69140625,3.80859375,2.1171875,0.91845703125,48.0,0.495,0.50244140625
f12p1401t0083r04,12,1401,4,83,105,1.5615234375,3.791015625,2.228515625,0.85888671875,66.0,0.469,0.5
f12p1401t0096r02,12,1401,2,96,113,1.9130859375,3.78515625,1.87109375,0.8076171875,51.0,0.4739,0.53515625
f12p1401t0097r01,12,1401,1,97,115,1.5615234375,3.3984375,1.837890625,0.86669921875,54.0,0.4973,0.47802734375
f12p1401t0097r02,12,1401,2,97,113,1.765625,3.3203125,1.5537109375,0.84521484375,48.0,0.4949,0.5302734375
f12p1401t0113r02,12,1401,2,113,128,1.759765625,2.939453125,1.1796875,0.720703125,45.0,0.4817,0.487060546875
f12p1401t0113r04,12,1401,4,113,126,2.0234375,3.38671875,1.3623046875,0.66064453125,39.0,0.4446,0.4814453125
f12p1401t0115r01,12,1401,1,115,134,1.625,3.603515625,1.9794921875,0.82958984375,57.0,0.483,0.471923828125
f12p1401t0115r02,12,1401,2,115,133,1.7744140625,3.5546875,1.78125,0.76171875,54.0,0.4856,0.51220703125
f12p1401t0128r03,12,1401,3,128,148,1.431640625,3.5234375,2.091796875,0.79931640625,60.0,0.4688,0.464599609375
f12p1401t0128r04,12,1401,4,128,147,1.5078125,3.380859375,1.873046875,0.802734375,57.0,0.4958,0.442138671875
f12p1401t0133r03,12,1401,3,133,143,1.734375,2.802734375,1.0673828125,0.84716796875,30.0,0.4333,0.55859375
f12p1401t0134r01,12,1401,1,134,150,1.701171875,3.201171875,1.5009765625,0.7578125,48.0,0.501,0.48876953125
f12p1401t0134r02,12,1401,2,134,149,1.9033203125,3.46484375,1.5625,0.84619140625,45.0,0.474,0.50634765625
f12p1401t0149r02,12,1401,2,149,168,1.7548828125,3.58984375,1.8349609375,0.7763671875,57.0,0.4563,0.490234375
f12p1401t0149r03,12,1401,3,149,167,1.7099609375,3.390625,1.6806640625,0.75732421875,54.0,0.4287,0.52099609375
f12p1401t0150r01,12,1401,1,150,170,1.5654296875,3.646484375,2.080078125,0.82275390625,60.0,0.4785,0.481689453125
f12p1401t0170r01,12,1401,1,170,189,1.755859375,3.5234375,1.7666015625,0.7998046875,57.0,0.4624,0.464599609375
f12p1401t0170r02,12,1401,2,170,186,1.8896484375,3.71484375,1.82421875,0.80908203125,48.0,0.464,0.54345703125
f12p1401t0186r02,12,1401,2,186,203,2.01953125,3.736328125,1.716796875,0.7021484375,51.0,0.4531,0.477783203125
f12p1401t0189r02,12,1401,2,189,201,1.8857421875,3.056640625,1.1708984375,0.80322265625,36.0,0.459,0.38330078125
f12p1401t0203r03,12,1401,3,203,220,1.78515625,3.71484375,1.9296875,0.81884765625,51.0,0.4614,0.4912109375
f12p1401t0228r01,12,1401,1,228,248,1.6953125,3.259765625,1.5654296875,0.765625,60.0,0.4739,0.5
f12p1401t0248r01,12,1401,1,248,267,1.6298828125,3.255859375,1.6259765625,0.78125,57.0,0.448,0.49951171875
f12p1401t0248r02,12,1401,2,248,264,1.6298828125,3.0859375,1.4560546875,0.77880859375,48.0,0.4482,0.59130859375
f12p1401t0267r01,12,1401,1,267,287,1.6259765625,3.326171875,1.7001953125,0.7099609375,60.0,0.459,0.56982421875
f12p1401t0267r02,12,1401,2,267,292,1.6298828125,4.5078125,2.87890625,0.734375,75.0,0.4663,0.49365234375
f12p1401t0287r01,12,1401,1,287,305,1.8955078125,3.392578125,1.498046875,0.75146484375,54.0,0.442,0.517578125
f12p1401t0292r03,12,1401,3,292,306,2.224609375,3.798828125,1.572265625,0.82275390625,42.0,0.4763,0.4990234375
