,fov,peak,birth_label,birth_time,division_time,sb,sd,delta,elong_rate,tau,width,septum_position
f10p0052t0241r02,10,52,2,241,259,1.9248046875,3.78515625,1.859375,0.7919921875,54.0,0.508,0.51806640625
f10p0052t0242r04,10,52,4,242,253,2.373046875,4.03125,1.658203125,0.85595703125,33.0,0.5186,0.51611328125
f10p0052t0243r03,10,52,3,243,258,1.9501953125,3.78515625,1.8349609375,0.92041015625,45.0,0.5396,0.5009765625
f10p0052t0243r04,10,52,4,243,258,1.8857421875,3.451171875,1.5654296875,0.8251953125,45.0,0.552,0.472412109375
f10p0052t0257r01,10,52,1,257,272,2.2109375,3.9765625,1.7666015625,0.8095703125,45.0,0.5205,0.53955078125
f10p0052t0257r02,10,52,2,257,274,1.8212890625,3.533203125,1.7119140625,0.841796875,51.0,0.528,0.46142578125
f10p0052t0259r03,10,52,3,259,275,1.9599609375,3.9140625,1.9541015625,0.896484375,48.0,0.512,0.499267578125
f10p0052t0259r04,10,52,4,259,276,1.82421875,4.1015625,2.279296875,0.92578125,51.0,0.497,0.5078125
f10p0052t0305r01,10,52,1,305,319,2.015625,3.669921875,1.654296875,0.84130859375,42.0,0.532,0.5341796875
f10p0052t0305r02,10,52,2,305,319,1.98828125,3.646484375,1.6572265625,0.818359375,42.0,0.503,0.46484375
f10p0052t0307r03,10,52,3,307,322,2.01953125,3.91015625,1.8916015625,0.8916015625,45.0,0.5166,0.517578125
f10p0052t0319r01,10,52,1,319,338,1.9599609375,3.984375,2.025390625,0.70556640625,57.0,0.5083,0.5419921875
f10p0052t0319r03,10,52,3,319,338,1.6953125,3.8359375,2.140625,0.837890625,57.0,0.5093,0.491455078125
f10p0052t0338r01,10,52,1,338,354,2.16015625,4.03125,1.87109375,0.783203125,48.0,0.523,0.51611328125
f10p0052t0338r02,10,52,2,338,355,1.82421875,3.716796875,1.8916015625,0.84326171875,51.0,0.522,0.489990234375
f10p0052t0354r01,10,52,1,354,368,2.080078125,3.70703125,1.625,0.8603515625,42.0,0.5254,0.5087890625
f10p0052t0354r02,10,52,2,354,370,1.951171875,3.71484375,1.763671875,0.78515625,48.0,0.5303,0.52734375
f10p0052t0355r04,10,52,4,355,373,1.8955078125,3.97265625,2.078125,0.79736328125,54.0,0.546,0.459228515625
f10p0052t0368r01,10,52,1,368,384,1.884765625,3.447265625,1.5625,0.76611328125,48.0,0.5312,0.4716796875
f10p0052t0368r02,10,52,2,368,384,1.8212890625,3.580078125,1.7587890625,0.87744140625,48.0,0.5327,0.50830078125
f10p0052t0370r03,10,52,3,370,387,1.9599609375,4.0625,2.103515625,0.90673828125,51.0,0.524,0.5
f10p0052t0370r04,10,52,4,370,390,1.7548828125,4.37109375,2.6171875,0.85205078125,60.0,0.57,0.50927734375
f10p0052t0384r01,10,52,1,384,402,1.6259765625,3.4453125,1.8203125,0.89697265625,54.0,0.5264,0.50927734375
f10p0052t0384r02,10,52,2,384,402,1.8212890625,3.970703125,2.1484375,0.84326171875,54.0,0.5103,0.5576171875
f10p0052t0384r03,10,52,3,384,400,1.8203125,3.640625,1.8203125,0.89697265625,48.0,0.528,0.482177734375
f10p0052t0400r03,10,52,3,400,419,1.7548828125,3.900390625,2.146484375,0.8603515625,57.0,0.53,0.5
f10p0052t0402r01,10,52,1,402,419,1.7548828125,3.576171875,1.8212890625,0.8876953125,51.0,0.5176,0.4365234375
f10p0052t0402r02,10,52,2,402,418,1.69140625,3.515625,1.8251953125,0.83935546875,48.0,0.5146,0.53662109375
f10p0052t0402r03,10,52,3,402,416,2.212890625,3.798828125,1.583984375,0.78955078125,42.0,0.538,0.484130859375
f10p0052t0402r04,10,52,4,402,418,1.755859375,3.83984375,2.083984375,0.8603515625,48.0,0.5215,0.4912109375
f10p0052t0416r03,10,52,3,416,433,1.8388671875,3.775390625,1.9375,0.8623046875,51.0,0.554,0.50048828125
f10p0052t0418r02,10,52,2,418,434,1.8857421875,3.662109375,1.775390625,0.81298828125,48.0,0.5054,0.445068359375
f10p0052t0418r03,10,52,3,418,438,1.6298828125,3.646484375,2.015625,0.7919921875,60.0,0.547,0.51708984375
f10p0052t0419r01,10,52,1,419,439,1.5615234375,3.607421875,2.044921875,0.880859375,60.0,0.4973,0.43408203125
f10p0052t0419r02,10,52,2,419,436,2.015625,4.10546875,2.08984375,0.8388671875,51.0,0.496,0.4931640625
f10p0052t0436r02,10,52,2,436,455,2.0234375,4.04296875,2.01953125,0.75439453125,57.0,0.5176,0.468505859375
f10p0052t0436r03,10,52,3,436,454,2.080078125,3.923828125,1.84375,0.72119140625,54.0,0.514,0.435791015625
f10p0052t0439r01,10,52,1,439,456,1.5654296875,3.40625,1.83984375,0.81494140625,51.0,0.533,0.483154296875
f10p0052t0453r02,10,52,2,453,471,1.9599609375,4.36328125,2.404296875,0.87451171875,54.0,0.4849,0.50634765625
f10p0052t0453r03,10,52,3,453,472,1.966796875,4.37109375,2.40234375,0.86767578125,57.0,0.532,0.49072265625
f10p0052t0455r04,10,52,4,455,469,1.8955078125,3.59375,1.69921875,0.912109375,42.0,0.554,0.470458984375
f10p0052t0456r01,10,52,1,456,474,1.6455078125,3.39453125,1.748046875,0.84228515625,54.0,0.5117,0.4443359375
f10p0052t0456r02,10,52,2,456,473,1.759765625,3.51171875,1.7529296875,0.8203125,51.0,0.5205,0.4814453125
f10p0052t0471r03,10,52,3,471,486,2.2109375,4.359375,2.1484375,0.91259765625,45.0,0.5117,0.492919921875
f10p0052t0473r02,10,52,2,473,493,1.69140625,3.904296875,2.212890625,0.86279296875,60.0,0.5146,0.45068359375
f10p0052t0473r03,10,52,3,473,492,1.8212890625,4.109375,2.287109375,0.89794921875,57.0,0.5225,0.475830078125
f10p0052t0474r01,10,52,1,474,493,1.5078125,3.51953125,2.01171875,0.912109375,57.0,0.516,0.481689453125
f10p0052t0474r02,10,52,2,474,491,1.8857421875,4.05859375,2.173828125,0.85791015625,51.0,0.4934,0.5185546875
f10p0128t0002r01,10,128,1,2,14,1.8203125,3.451171875,1.6318359375,1.0517578125,36.0,0.5547,0.472412109375
f10p0128t0002r02,10,128,2,2,15,2.279296875,4.0390625,1.7607421875,0.8603515625,39.0,0.5225,0.5146484375
f10p0128t0014r01,10,128,1,14,33,1.6298828125,3.65625,2.025390625,0.818359375,57.0,0.537,0.46533203125
f10p0128t0014r02,10,128,2,14,33,1.8212890625,3.900390625,2.080078125,0.880859375,57.0,0.5337,0.499755859375
f10p0128t0015r03,10,128,3,15,29,2.080078125,3.83984375,1.7607421875,0.86328125,42.0,0.535,0.5087890625
f10p0128t0015r04,10,128,4,15,29,1.9599609375,3.494140625,1.5341796875,0.87548828125,42.0,0.5347,0.50341796875
f10p0128t0029r03,10,128,3,29,47,1.9541015625,3.904296875,1.9501953125,0.74951171875,54.0,0.521,0.50048828125
f10p0128t0033r04,10,128,4,33,50,1.951171875,4.0390625,2.087890625,0.9169921875,51.0,0.525,0.498779296875
f10p0128t0050r04,10,128,4,50,67,2.015625,3.5390625,1.5244140625,0.6923828125,51.0,0.549,0.53759765625
f10p0128t0065r01,10,128,1,65,82,1.625,3.650390625,2.025390625,0.9375,51.0,0.544,0.483642578125
