,sb,sd,delta,elong_rate,tau
185,2.0149999,4.095,2.08,0.8733200058901215,50.0
186,2.1681547,4.1995206,2.0313656,0.7477445090846909,55.0
187,2.3722773,5.0411587,2.6688814,0.8262084513125213,60.0
188,2.5069344,4.8911076,2.3841732,0.8965595144974552,47.5
189,2.5539382,4.913827,2.3598888,0.756216028731534,55.0
190,1.7387673,3.445,1.7062325,0.5208346454854952,82.5
191,2.3541791,4.0783434,1.7241642,0.7617729086624949,47.5
192,1.7549999,4.180303,2.425303,0.7317732120382372,72.5
193,2.253908,3.965,1.711092,0.7816735504265103,50.0
194,2.0149999,4.1300173,2.1150174,0.5876902205792894,75.0
195,1.979129,3.5572534,1.5781245,0.6233811943898557,57.5
196,2.1799307,4.129437,1.9495063,0.6359657346285321,62.5
197,1.8199999,4.3841934,2.5641937,0.8951028797466292,57.5
199,2.3767307,3.9895103,1.6127795,0.7106946773098834,50.0
202,2.405,4.385868,1.9808683,0.5437829225294065,77.5
203,2.1318808,3.924314,1.7924333,0.790699723479035,52.5
204,2.0422966,4.182444,2.1401477,0.7827377601291837,60.0
205,2.2982106,4.445816,2.1476054,0.6571162962302179,65.0
206,2.6222317,4.1283383,1.5061064,0.6537943689446709,47.5
207,2.1656146,4.0791445,1.9135296,0.6513123620074733,60.0
208,1.8807243,4.0693483,2.1886237,0.5325598574295152,92.5
209,2.3009658,4.9399996,2.639034,0.6442745474231986,67.5
210,2.5081022,4.5757885,2.0676866,0.8340880036723113,45.0
211,2.34,4.196442,1.8564425,0.662822113812542,55.0
212,2.2386842,3.9534209,1.7147367,0.7704481956654038,50.0
213,2.145,4.0099998,1.8649999,0.7701312498612817,52.5
214,1.9395939,3.8349998,1.895406,0.866293885087238,55.0
215,2.030264,4.7840047,2.7537405,0.7032053428709308,75.0
216,2.105129,4.281437,2.176308,0.7678330048270815,57.5
217,2.7542193,4.636303,1.882084,0.6896375768324892,42.5
218,2.405,4.4387593,2.033759,0.7390596679480715,55.0
219,2.21,3.965,1.7549999,0.692783876565787,62.5
220,2.08,4.0299993,1.9499995,0.7080263724693882,62.5
221,2.08,4.8990803,2.8190804,0.6183955225350753,85.0
222,2.2933042,4.4568334,2.1635294,0.47332468273258965,87.5
223,2.2786882,4.4249463,2.1462584,0.6604525178343374,67.5
224,2.4727526,4.4849997,2.0122473,0.41493285872349506,92.5
225,2.34,4.514794,2.1747937,0.6590948119530294,62.5
226,2.5314026,4.4849997,1.9535973,0.709170014517648,50.0
227,2.1510189,4.2087226,2.0577037,0.7485980373664733,55.0
228,2.405,3.9964402,1.5914402,0.6133249208524632,52.5
229,2.253343,4.6584363,2.4050932,0.8006961275183642,60.0
230,1.9499999,4.422635,2.4726353,0.7543280150864149,67.5
231,2.3507445,4.0012236,1.6504788,0.7294836487194327,45.0
232,1.8199999,4.0099998,2.1899998,0.8338355881128563,65.0
233,1.9499999,4.3889213,2.4389212,0.7559074846590287,70.0
234,1.885,4.5710416,2.6860418,0.8173525394537517,65.0
235,2.21,3.9559631,1.7459632,0.7047474409404574,50.0
236,2.405,5.098795,2.693795,0.44903869516205935,95.0
237,2.2421174,4.198586,1.9564688,0.6745398694818665,57.5
238,2.34,5.0699997,2.73,0.7413592793391287,62.5
239,2.0632095,4.522628,2.4594188,0.5366859354640472,92.5
240,1.9499999,3.6598573,1.7098575,0.6200570869445806,62.5
241,2.08,4.0299997,1.9499999,0.8233066534067122,52.5
242,2.145,3.77,1.625,0.6283212763518674,57.5
243,1.7090312,4.0454288,2.3363976,0.6617354623733026,77.5
244,2.21,4.499088,2.2890878,0.6129182668832628,67.5
245,2.21,4.355,2.145,0.7794494769884169,60.0
246,2.34,4.49944,2.1594403,0.8545389695601004,52.5
247,2.4741895,4.2539735,1.7797838,0.7098419074725406,50.0
248,2.08,4.1831636,2.103164,0.6659242982130789,62.5
249,2.145,4.1051836,1.9601835,0.699070828479266,60.0
250,1.625,3.5582526,1.9332526,0.8169367417045247,60.0
251,1.7549999,3.8150475,2.0600474,0.748644090627695,52.5
252,2.252135,3.9908025,1.7386676,0.9184390096103444,42.5
253,1.8386178,3.7569191,1.9183015,0.778709505857686,57.5
254,1.625,3.5921423,1.9671423,0.8234864649026828,55.0
255,1.8199999,4.2928452,2.4728456,0.9181174515735497,57.5
256,1.9499999,3.942037,1.9920373,0.7376559473120647,60.0
257,1.885,4.7202396,2.8352396,0.7082383131423975,75.0
258,1.6899999,4.476798,2.786798,0.6356271374785205,92.5
259,2.21,4.2135334,2.0035334,0.7278630554440462,57.5
260,2.113298,4.0986667,1.9853687,0.9213931635806424,47.5
261,2.08,4.606392,2.526392,0.7152426343086434,65.0
262,2.0219922,4.2213745,2.1993825,0.7772839813835528,57.5
263,2.0371363,4.5371985,2.500062,0.7353587654309386,65.0
264,2.3715837,4.4831905,2.111607,0.831734587016856,47.5
265,2.34,4.7615333,2.4215336,0.7491825617276714,62.5
266,2.34,4.5635004,2.2235005,0.8086289126173896,50.0
267,2.3402195,4.1712976,1.831078,0.716773922412426,52.5
268,2.21,4.289999,2.079999,0.605281805380796,67.5
270,2.405,3.8999999,1.4949999,0.6533650649221313,50.0
271,1.8975475,3.6399999,1.7424524,0.6435162646953871,65.0
273,2.1445603,4.3993344,2.2547739,0.7313656029334429,62.5
274,2.3671935,4.9445353,2.577342,0.6851822744795687,67.5
275,2.0149999,3.8976812,1.8826813,0.7955684561478474,47.5
276,2.145,4.555844,2.4108436,0.7632273894089916,67.5
277,1.8199999,4.195634,2.375634,0.7848357758155248,62.5
278,2.033531,3.928171,1.89464,0.6882451532386504,57.5
279,2.0149999,3.7123423,1.6973424,0.6617370801480851,57.5
280,1.7549999,3.5332825,1.7782826,0.6395907664037013,67.5
281,1.8844396,4.2076483,2.3232088,0.6553106424673241,75.0
283,2.6699014,5.1476293,2.4777277,0.7488613185204067,57.5
284,2.5108643,4.872171,2.361307,0.5504736040613335,72.5
285,2.9027262,4.9600706,2.0573447,0.7180554180322416,45.0
286,2.5349998,4.5099006,1.9749006,0.6209605600926787,52.5
287,2.21,5.398445,3.188445,0.5607003127285863,90.0
288,2.284332,4.4849997,2.2006679,0.6270119223884377,70.0
289,1.8199999,4.355,2.5349998,0.7401765850945495,75.0
290,2.4791365,5.3666053,2.8874688,0.6469005639879272,75.0
291,2.405,4.1887274,1.7837275,0.6739929098831974,47.5
292,2.0149999,4.122286,2.107286,0.8610022433392408,52.5
293,2.395276,4.8460975,2.4508216,0.7397792069808294,60.0
294,2.3607256,3.8940704,1.5333447,0.6701252084029342,50.0
296,2.5702374,4.7514076,2.1811702,0.7611710125342355,50.0
297,2.34,4.248881,1.908881,0.7497933213822519,55.0
298,2.0478134,4.302784,2.2549706,0.6360950219617935,75.0
299,2.08,4.0299997,1.9499999,0.6132543584802648,67.5
300,2.21,5.0049987,2.794999,0.8583095293459675,60.0
301,2.4699998,4.4387593,1.9687592,0.7069585040099629,50.0
302,2.08,4.242283,2.162283,0.5474293600749504,72.5
303,2.2749999,3.860863,1.5858631,0.7020161277369436,50.0
304,2.6421943,4.1910963,1.5489022,0.8362360105409715,32.5
305,2.7693727,4.2545567,1.4851838,0.8288978010743537,32.5
306,2.0149999,3.803032,1.788032,0.7177259252947785,57.5
307,2.0149999,4.5188165,2.5038166,0.7594280257591826,62.5
308,2.1796288,4.3248363,2.1452072,0.7083133581410294,60.0
309,1.9920645,3.9697118,1.9776473,0.7838630973518667,52.5
310,2.0744562,3.8349998,1.7605436,0.878952829461346,45.0
311,2.221612,3.8999999,1.678388,0.5796669827974756,62.5
312,2.060755,4.5259247,2.4651697,0.6291612967018513,80.0
313,2.2493699,3.5807834,1.3314136,0.8628779820033474,37.5
314,1.9184521,3.1259768,1.2075247,0.6300328142502731,40.0
315,1.885,3.8999999,2.0149999,0.8182917906698162,55.0
316,2.405,4.4617157,2.056716,0.8839437053668642,45.0
317,2.1390693,4.074677,1.9356079,0.6730937949470851,60.0
318,2.0149999,4.181484,2.1664844,0.8450073864687468,55.0
319,2.4699998,4.81,2.34,0.7574856121078312,55.0
320,2.5618982,4.242049,1.6801509,0.8297182391671556,40.0
321,2.145,4.355,2.21,0.6794999342698312,65.0
322,2.34,4.2362714,1.8962715,0.55733040244317,70.0
323,2.0149999,4.438434,2.4234345,0.7232051498588472,70.0
324,1.8419111,4.860926,3.019015,0.7035176448006043,82.5
325,2.3328662,4.782154,2.4492877,0.8313079877007282,50.0
326,2.422561,4.81,2.387439,0.7835718600780929,52.5
327,2.21,3.9721427,1.7621428,0.9345457834355982,42.5
328,1.8199999,4.359296,2.539296,0.6292071150195209,77.5
329,2.0149999,4.0299997,2.0149999,0.6316238480173181,67.5
330,2.0149999,4.0031734,1.9881734,0.7935095824204482,52.5
331,2.21,3.6269786,1.4169788,0.8426699434007923,37.5
332,2.9899998,5.0049996,2.0149999,0.6579215128618974,50.0
333,2.21,4.301495,2.091495,0.5301033443308132,82.5
334,2.21,5.391303,3.1813033,0.6061173692705959,92.5
335,2.73,5.0267053,2.2967055,0.7657941459713137,50.0
336,2.665,4.744999,2.079999,0.7226356159556978,52.5
337,2.4699998,4.8189745,2.3489745,0.7373253399392806,60.0
338,2.1137557,3.868012,1.7542561,0.8130480013395606,47.5
339,2.9363256,4.463759,1.5274335,0.8741277757581765,32.5
340,2.268264,4.0016794,1.7334157,0.6151775874908475,55.0
341,2.3618395,3.965,1.6031603,0.7242135145346796,45.0
342,1.625,3.9412022,2.3162022,0.7089782041661878,87.5
343,2.090598,4.5282073,2.4376094,0.6084772890264333,82.5
344,2.5556648,4.745,2.189335,0.6912975933240796,57.5
345,2.4730241,4.0442157,1.5711917,0.6670078076814338,47.5
346,2.2749999,4.825663,2.5506632,0.7932389968480825,65.0
347,2.21,4.291967,2.081967,0.7270135973753188,57.5
348,1.885,4.3889213,2.5039213,0.7028255275942741,75.0
349,2.309743,3.916083,1.60634,0.906418439320156,37.5
350,2.2701774,4.570523,2.3003452,0.43312402757151475,95.0
351,2.303196,4.477634,2.1744382,0.7532299382076778,55.0
352,2.0149999,4.355,2.34,0.7917603467858355,60.0
353,1.8447589,4.0586333,2.2138746,0.8830172968476178,57.5
354,1.9145477,4.0986667,2.1841187,0.8597593797525405,55.0
355,2.4699998,4.16,1.6899999,0.8076412958257319,42.5
356,1.885,3.8559136,1.9709138,0.5824603444609677,75.0
357,1.8199999,4.095,2.2749999,0.6634628424307774,70.0
358,2.08,4.3137016,2.2337015,0.6943026537772927,65.0
359,2.34,5.1444607,2.8044608,0.5012803412146395,95.0
360,1.9499999,3.711075,1.7610751,0.8374743440097422,50.0
361,1.9499999,4.000326,2.0503263,0.911388625107803,52.5
362,1.9499999,4.526627,2.5766273,0.678687113331211,77.5
363,2.4193249,4.6430883,2.2237635,0.6387309001042287,62.5
364,1.8407834,4.16,2.3192165,0.6337199472611952,77.5
365,1.7549999,3.8999999,2.145,0.6690800600436132,67.5
366,2.0373385,3.866678,1.8293393,0.7358951083958168,55.0
367,1.885,3.595039,1.7100389,0.7763920449591316,52.5
368,1.6899999,3.9852462,2.2952461,0.7517872136154454,67.5
369,2.405,4.430249,2.0252495,0.6305402108897319,60.0
370,2.2484686,4.0299997,1.7815311,0.6904862606882176,55.0
371,2.0373385,4.4274693,2.3901305,0.6365700587016994,75.0
372,2.261086,4.1103287,1.8492426,0.6583651564175009,50.0
373,1.9499999,3.7699993,1.8199995,0.649602796114407,65.0
374,2.109557,3.5099998,1.400443,0.9248215825934174,47.5
375,2.1418264,3.325586,1.1837597,0.6327373103091598,45.0
376,1.56,4.2055726,2.6455727,0.5785478931877895,100.0
377,1.8199999,5.0054893,3.1854894,0.7586330832007104,82.5
378,2.2749999,4.3575993,2.0825994,0.6702037460719177,57.5
379,2.2749999,4.8872957,2.612296,0.7088366889953631,62.5
380,2.145,3.9711118,1.8261118,0.774906456739381,50.0
381,2.3333259,4.289999,1.9566729,0.5377851143861436,65.0
382,2.0149999,5.0443373,3.0293374,0.6933996694902165,75.0
383,2.5482893,4.7343864,2.1860971,0.8081862800999704,47.5
384,2.2077641,3.797355,1.5895909,0.7560885379188919,47.5
385,1.9499999,4.360996,2.410996,0.7790520477294932,65.0
386,2.0149999,3.3799999,1.365,0.8181362292345837,40.0
387,1.7549999,3.8349998,2.08,0.7535543965769333,67.5
388,1.7549999,3.8349998,2.08,0.7547204017639146,62.5
389,1.885,4.114388,2.229388,0.7544674296955478,67.5
390,2.0832305,4.745,2.6617694,0.6469123455785932,77.5
391,2.487084,4.095,1.6079159,0.7757383234360647,42.5
392,2.0149999,3.5099998,1.4949999,0.7377255427372942,52.5
393,3.0999362,5.104727,2.0047905,0.7075487739161437,47.5
394,2.08,4.3122396,2.2322395,0.5658787215284544,72.5
395,2.1244211,4.056356,1.9319346,0.8228599032065039,50.0
396,1.625,3.8672788,2.242279,0.7814559056208688,65.0
397,2.21,3.95179,1.7417902,0.8236424697072869,47.5
398,2.145,3.7503824,1.6053824,0.8579542142318847,45.0
399,1.56,3.5099998,1.9499999,0.8530324521272084,60.0
400,2.0303276,3.790369,1.7600416,0.7950893129621234,50.0
401,1.9499999,3.7094576,1.7594577,0.8901875904628208,50.0
402,1.7549999,3.7015705,1.9465705,0.7947861422663131,57.5
403,2.0149999,4.0789013,2.0639014,0.7402231495197007,62.5
404,2.21,3.765074,1.5550741,0.882951753279738,40.0
405,1.43,3.6602645,2.2302647,0.8619092435422112,60.0
406,1.9499999,3.4972706,1.5472707,0.86285531483937,45.0
407,2.405,4.096952,1.6919519,0.5253165510426377,60.0
408,2.145,4.3012404,2.1562407,0.7742284993409168,55.0
409,2.2749999,4.4849987,2.2099988,0.7410949516296383,60.0
410,2.405,4.224999,1.819999,0.7644766685657931,50.0
411,2.145,4.225,2.08,0.7967377258249069,55.0
412,2.145,4.226994,2.081994,0.49916383584461743,85.0
413,2.405,4.760995,2.355995,0.5887259923576383,75.0
414,2.6041093,4.3932595,1.7891501,0.5684556376792709,57.5
415,2.145,4.144,1.9990001,0.7508913952371337,55.0
416,2.3656988,3.8962717,1.5305729,0.7581902167376321,40.0
417,2.0235078,3.8999994,1.8764914,0.8083195376705816,52.5
418,2.1193948,4.150493,2.0310984,0.6952113616160858,65.0
419,1.885,3.4965253,1.6115253,0.7071178604289678,55.0
420,2.0972993,3.1996343,1.102335,0.7621144766335967,35.0
421,1.9499999,3.705,1.7549999,0.7967981783070954,50.0
422,2.0149999,4.265425,2.250425,0.7770486655602085,62.5
423,1.8199999,3.9609017,2.1409018,0.789459900234058,60.0
424,2.116126,4.381694,2.2655678,0.45065949675107797,95.0
425,1.9143447,4.13057,2.2162251,0.7651318985376593,65.0
426,1.885,3.9585683,2.0735683,0.5072317203553784,87.5
427,2.21,4.126821,1.9168212,0.6981452199310193,57.5
428,2.0149999,3.9405084,1.9255084,0.6019133675861823,72.5
429,2.665,4.68,2.0149999,0.42983493804931944,72.5
430,1.885,4.0531025,2.1681025,0.7432299305842465,62.5
431,1.885,3.9749148,2.0899148,0.8377236601594205,52.5
432,1.885,3.8999999,2.0149999,0.7635420018976385,57.5
433,1.885,4.0501723,2.1651723,0.7030229286304166,75.0
434,1.9154698,4.1818714,2.2664018,0.7278492725541423,72.5
435,1.7549999,2.904016,1.149016,0.7149793370958435,45.0
436,1.9499999,3.6058352,1.6558352,0.6220549740998641,60.0
437,1.8199999,4.1178346,2.2978349,0.721003724541856,67.5
438,2.0149999,3.801573,1.786573,0.6654962979830246,62.5
439,2.08,3.9998858,1.9198858,0.7150722344267655,55.0
440,2.2749999,4.0422797,1.7672796,0.7772303430657661,47.5
441,1.885,3.8576715,1.9726715,0.6835786966177126,65.0
442,1.9499999,3.8999999,1.9499999,0.6417219895582934,65.0
443,2.0145102,3.7346685,1.7201582,0.5842380833743247,72.5
444,2.0149999,4.42,2.405,0.6273808455266867,85.0
445,2.34,5.0963693,2.7563694,0.6984659987325929,70.0
446,2.4699998,4.4849987,2.014999,0.7282192129837859,50.0
447,2.34,4.3849573,2.0449574,0.7225970400934631,60.0
448,1.8199999,3.8681505,2.0481505,0.8369515438930651,55.0
449,2.3164816,4.3720727,2.0555909,0.7821851959802141,50.0
450,2.08,4.1018915,2.0218916,0.7592926647352136,57.5
