Channel,Events
12,2
13,1
14,1
16,1
17,2
18,3
19,1
21,7
22,10
23,19
24,30
25,33
26,43
27,52
28,93
29,154
30,170
31,238
32,268
33,298
34,297
35,371
36,358
37,388
38,364
39,389
40,442
41,463
42,488
43,540
44,658
45,764
46,832
47,911
48,956
49,954
50,1125
51,1177
52,1275
53,1393
54,1363
55,1187
56,1054
57,887
58,749
59,648
60,505
61,425
62,355
63,311
64,301
65,273
66,273
67,260
68,284
69,222
70,264
71,220
72,231
73,204
74,207
75,215
76,228
77,190
78,199
79,200
80,164
81,210
82,180
83,187
84,174
85,178
86,158
87,171
88,160
89,140
90,145
91,138
92,120
93,137
94,132
95,106
96,112
97,108
98,108
99,107
100,78
101,88
102,76
103,75
104,86
105,72
106,61
107,57
108,55
109,34
110,28
111,27
112,20
113,19
114,11
115,14
116,5
117,6
118,14
119,8
120,7
121,4
122,5
123,4
124,4
125,6
126,5
127,2
128,4
129,3
130,3
131,4
132,3
133,4
134,4
135,4
136,2
137,1
138,3
139,4
140,3
141,2
142,4
143,5
144,2
146,4
149,1
150,4
151,2
152,2
153,1
155,1
156,1
159,1
161,2
162,2
163,2
166,1
167,1
169,1
172,1
174,1
175,1
177,1
179,1
180,1
181,1
185,2
189,1
190,2
194,1
195,1
196,2
198,1
202,1
208,2
214,1
221,1
223,2
225,1
226,1
235,1
